pipeline,category,method,dataset,architecture,feature_map,optimizer,model,noise_type,noise_level,clean_accuracy,noisy_accuracy,accuracy_drop,robustness_score,instability,notes
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + svm_rbf,,,,classical_only,svm_rbf,multi_noise,,0.9866666666666667,0.9866666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + extra_trees,,,,classical_only,extra_trees,multi_noise,,0.9866666666666667,0.9866666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + svm_rbf,,,,fusion_noise_augmented,svm_rbf,multi_noise,,0.9866666666666667,0.985,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_feature_fusion + gradient_boosting,,,,multi_noise_feature_fusion,gradient_boosting,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + random_forest,,,,classical_only,random_forest,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + gradient_boosting,,,,classical_only,gradient_boosting,multi_noise,,0.9733333333333334,0.9733333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + svm_rbf,,,,fusion_clean_train,svm_rbf,multi_noise,,0.98,0.9733333333333333,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + gradient_boosting,,,,fusion_noise_augmented,gradient_boosting,multi_noise,,0.9733333333333334,0.97,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + extra_trees,,,,fusion_noise_augmented,extra_trees,multi_noise,,0.9533333333333334,0.9683333333333334,,,,Fusion of classical input features and quantum-derived multi-observable features.
dual_loss_multi_observable_hqnn,noise-aware optimization,stability_regularized + multi_observable_random_forest,,linear,,stability_regularized,multi_observable_random_forest,depolarizing,0.05,0.96,0.96,0.0,1.0,,Dual-loss/stability-regularized multi-observable HQNN.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_feature_fusion + random_forest,,,,multi_noise_feature_fusion,random_forest,multi_noise,,0.9466666666666667,0.96,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + gradient_boosting,,,,fusion_clean_train,gradient_boosting,multi_noise,,0.9666666666666667,0.96,,,,Fusion of classical input features and quantum-derived multi-observable features.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + random_forest,,,,fusion_noise_augmented,random_forest,multi_noise,,0.96,0.9566666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
multichannel_flagship_validation,multichannel validation,phase_flip + random_forest,,linear,,,random_forest,phase_flip,0.05,0.9533333333333334,0.9533333333333334,0.0,1.0,,Flagship configuration validated across multiple noise channels.
multichannel_flagship_validation,multichannel validation,bit_flip + random_forest,,linear,,,random_forest,bit_flip,0.05,0.9466666666666667,0.9466666666666667,0.0,1.0,,Flagship configuration validated across multiple noise channels.
multichannel_flagship_validation,multichannel validation,depolarizing + random_forest,,linear,,,random_forest,depolarizing,0.05,0.96,0.9466666666666667,0.013333333333333308,0.9861111111111112,,Flagship configuration validated across multiple noise channels.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + extra_trees,,,,fusion_clean_train,extra_trees,multi_noise,,0.96,0.9333333333333333,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_feature_fusion + logistic_regression,,,,multi_noise_feature_fusion,logistic_regression,multi_noise,,0.9266666666666666,0.9316666666666666,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_noise_augmented + logistic_regression,,,,fusion_noise_augmented,logistic_regression,multi_noise,,0.9333333333333333,0.93,,,,Fusion of classical input features and quantum-derived multi-observable features.
multichannel_flagship_validation,multichannel validation,amplitude_damping + random_forest,,linear,,,random_forest,amplitude_damping,0.05,0.96,0.9266666666666666,0.033333333333333326,0.9652777777777778,,Flagship configuration validated across multiple noise channels.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + random_forest,,,,fusion_clean_train,random_forest,multi_noise,,0.9533333333333334,0.9266666666666666,,,,Fusion of classical input features and quantum-derived multi-observable features.
multichannel_flagship_validation,multichannel validation,bit_flip + logistic_regression,,linear,,,logistic_regression,bit_flip,0.05,0.92,0.9133333333333333,0.00666666666666671,0.9927536231884058,,Flagship configuration validated across multiple noise channels.
dual_loss_multi_observable_hqnn,noise-aware optimization,standard + multi_observable_random_forest,,linear,,standard,multi_observable_random_forest,depolarizing,0.05,0.9333333333333333,0.9133333333333333,0.020000000000000018,0.9785714285714285,,Dual-loss/stability-regularized multi-observable HQNN.
dual_loss_multi_observable_hqnn,noise-aware optimization,stability_regularized + multi_observable_logistic_regression,,linear,,stability_regularized,multi_observable_logistic_regression,depolarizing,0.05,0.9333333333333333,0.9133333333333333,0.020000000000000018,0.9785714285714285,,Dual-loss/stability-regularized multi-observable HQNN.
quantum_classical_feature_fusion,quantum-classical fusion,fusion_clean_train + logistic_regression,,,,fusion_clean_train,logistic_regression,multi_noise,,0.9266666666666666,0.9066666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
multichannel_flagship_validation,multichannel validation,depolarizing + logistic_regression,,linear,,,logistic_regression,depolarizing,0.05,0.9266666666666666,0.8933333333333333,0.033333333333333326,0.9640287769784173,,Flagship configuration validated across multiple noise channels.
multichannel_flagship_validation,multichannel validation,amplitude_damping + logistic_regression,,linear,,,logistic_regression,amplitude_damping,0.05,0.9133333333333333,0.8866666666666667,0.026666666666666616,0.9708029197080292,,Flagship configuration validated across multiple noise channels.
multichannel_flagship_validation,multichannel validation,phase_flip + logistic_regression,,linear,,,logistic_regression,phase_flip,0.05,0.9266666666666666,0.8866666666666667,0.039999999999999925,0.9568345323741008,,Flagship configuration validated across multiple noise channels.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_augmented + gradient_boosting,,,,multi_noise_augmented,gradient_boosting,multi_noise,,0.8866666666666667,0.8833333333333333,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_augmented + random_forest,,,,multi_noise_augmented,random_forest,multi_noise,,0.9,0.8783333333333334,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
dual_loss_multi_observable_hqnn,noise-aware optimization,random_untrained + multi_observable_random_forest,,linear,,random_untrained,multi_observable_random_forest,depolarizing,0.05,0.8466666666666667,0.8733333333333333,-0.026666666666666616,1.031496062992126,,Dual-loss/stability-regularized multi-observable HQNN.
dual_loss_multi_observable_hqnn,noise-aware optimization,standard + multi_observable_logistic_regression,,linear,,standard,multi_observable_logistic_regression,depolarizing,0.05,0.8733333333333333,0.8733333333333333,0.0,1.0,,Dual-loss/stability-regularized multi-observable HQNN.
quantum_classical_feature_fusion,quantum-classical fusion,classical_only + logistic_regression,,,,classical_only,logistic_regression,multi_noise,,0.8733333333333333,0.8733333333333333,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,single_noise_depolarizing + gradient_boosting,,,,single_noise_depolarizing,gradient_boosting,multi_noise,,0.8733333333333333,0.87,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
dual_loss_multi_observable_hqnn,noise-aware optimization,dual_loss + multi_observable_random_forest,,linear,,dual_loss,multi_observable_random_forest,depolarizing,0.05,0.9066666666666666,0.8666666666666667,0.039999999999999925,0.9558823529411765,,Dual-loss/stability-regularized multi-observable HQNN.
quantum_classical_feature_fusion,quantum-classical fusion,quantum_only_clean_train + extra_trees,,,,quantum_only_clean_train,extra_trees,multi_noise,,0.9,0.8633333333333333,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,single_noise_depolarizing + random_forest,,,,single_noise_depolarizing,random_forest,multi_noise,,0.9,0.86,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,quantum_only_clean_train + gradient_boosting,,,,quantum_only_clean_train,gradient_boosting,multi_noise,,0.8733333333333333,0.8516666666666667,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,clean_only + random_forest,,,,clean_only,random_forest,multi_noise,,0.8866666666666667,0.85,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,quantum_only_clean_train + random_forest,,,,quantum_only_clean_train,random_forest,multi_noise,,0.8666666666666667,0.8499999999999999,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,clean_only + gradient_boosting,,,,clean_only,gradient_boosting,multi_noise,,0.8666666666666667,0.8483333333333334,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
dual_loss_multi_observable_hqnn,noise-aware optimization,random_untrained + multi_observable_logistic_regression,,linear,,random_untrained,multi_observable_logistic_regression,depolarizing,0.05,0.8133333333333334,0.84,-0.026666666666666616,1.0327868852459017,,Dual-loss/stability-regularized multi-observable HQNN.
quantum_classical_feature_fusion,quantum-classical fusion,quantum_only_clean_train + svm_rbf,,,,quantum_only_clean_train,svm_rbf,multi_noise,,0.8266666666666667,0.835,,,,Fusion of classical input features and quantum-derived multi-observable features.
dual_loss_multi_observable_hqnn,noise-aware optimization,dual_loss + multi_observable_logistic_regression,,linear,,dual_loss,multi_observable_logistic_regression,depolarizing,0.05,0.86,0.82,0.040000000000000036,0.9534883720930232,,Dual-loss/stability-regularized multi-observable HQNN.
noise_augmented_readout_hqnn,noise-augmented readout,multi_noise_augmented + logistic_regression,,,,multi_noise_augmented,logistic_regression,multi_noise,,0.8133333333333334,0.8133333333333334,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
noise_augmented_readout_hqnn,noise-augmented readout,clean_only + logistic_regression,,,,clean_only,logistic_regression,multi_noise,,0.82,0.8116666666666668,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
quantum_classical_feature_fusion,quantum-classical fusion,quantum_only_clean_train + logistic_regression,,,,quantum_only_clean_train,logistic_regression,multi_noise,,0.8266666666666667,0.8066666666666666,,,,Fusion of classical input features and quantum-derived multi-observable features.
noise_augmented_readout_hqnn,noise-augmented readout,single_noise_depolarizing + logistic_regression,,,,single_noise_depolarizing,logistic_regression,multi_noise,,0.8266666666666667,0.8,,,,Readout trained on clean/noisy/multichannel quantum feature distributions.
dual_loss_multi_observable_hqnn,noise-aware optimization,noise_aware + multi_observable_random_forest,,linear,,noise_aware,multi_observable_random_forest,depolarizing,0.05,0.7866666666666666,0.7266666666666667,0.05999999999999994,0.9237288135593221,,Dual-loss/stability-regularized multi-observable HQNN.
dual_loss_multi_observable_hqnn,noise-aware optimization,noise_aware + multi_observable_logistic_regression,,linear,,noise_aware,multi_observable_logistic_regression,depolarizing,0.05,0.68,0.66,0.020000000000000018,0.9705882352941176,,Dual-loss/stability-regularized multi-observable HQNN.
real_hardware_validation,hardware validation,IBM parity,,,,,parity,ibm_fez,,,0.6428571428571429,,,,Real IBM Quantum backend validation.
dual_loss_multi_observable_hqnn,noise-aware optimization,stability_regularized + parity_readout,,linear,,stability_regularized,parity_readout,depolarizing,0.05,0.6,0.6,0.0,1.0,,Dual-loss/stability-regularized multi-observable HQNN.
variance_reduced_spsa_hqnn,optimizer engineering,variance_reduced_spsa_k3,,linear,,SPSA_k3,,depolarizing,0.05,0.4583333333333333,0.59375,-0.13541666666666669,1.2954545454545454,0.050545633947069166,SPSA gradient variance reduction by averaging multiple noisy perturbation estimates.
real_hardware_validation,hardware validation,Aer parity,,,,,parity,Aer simulator,,,0.5714285714285714,,,,Small-scale simulator validation.
noise_curriculum_hqnn,curriculum optimization,fixed_noise,,linear,,fixed_noise,,depolarizing,0.1,0.4895833333333333,0.5520833333333334,-0.06250000000000006,1.1276595744680853,0.04124789556921527,"Clean, fixed-noise, linear curriculum, and adaptive curriculum HQNN training."
dual_loss_multi_observable_hqnn,noise-aware optimization,standard + parity_readout,,linear,,standard,parity_readout,depolarizing,0.05,0.5466666666666666,0.5466666666666666,0.0,1.0,,Dual-loss/stability-regularized multi-observable HQNN.
noise_curriculum_hqnn,curriculum optimization,clean_training,,linear,,clean_training,,depolarizing,0.1,0.4166666666666667,0.5208333333333334,-0.10416666666666669,1.25,0.04250408477102197,"Clean, fixed-noise, linear curriculum, and adaptive curriculum HQNN training."
variance_reduced_spsa_hqnn,optimizer engineering,variance_reduced_spsa_k5,,linear,,SPSA_k5,,depolarizing,0.05,0.5416666666666666,0.5104166666666666,0.03125,0.9423076923076923,0.0496060872160755,SPSA gradient variance reduction by averaging multiple noisy perturbation estimates.
noise_curriculum_hqnn,curriculum optimization,adaptive_curriculum,,linear,,adaptive_curriculum,,depolarizing,0.1,0.5416666666666666,0.5,0.04166666666666663,0.9230769230769231,0.0471330858079309,"Clean, fixed-noise, linear curriculum, and adaptive curriculum HQNN training."
real_hardware_validation,hardware validation,Aer multi-observable logistic,,,,,multi_observable_logistic,Aer simulator,,,0.5,,,,Small-scale simulator multi-observable validation.
real_hardware_validation,hardware validation,IBM multi-observable logistic,,,,,multi_observable_logistic,ibm_fez,,,0.5,,,,Real IBM Quantum backend multi-observable validation.
noise_curriculum_hqnn,curriculum optimization,linear_curriculum,,linear,,linear_curriculum,,depolarizing,0.1,0.53125,0.4895833333333333,0.041666666666666685,0.9215686274509803,0.0493429044769582,"Clean, fixed-noise, linear curriculum, and adaptive curriculum HQNN training."
dual_loss_multi_observable_hqnn,noise-aware optimization,noise_aware + parity_readout,,linear,,noise_aware,parity_readout,depolarizing,0.05,0.5066666666666667,0.4866666666666667,0.020000000000000018,0.9605263157894737,,Dual-loss/stability-regularized multi-observable HQNN.
dual_loss_multi_observable_hqnn,noise-aware optimization,random_untrained + parity_readout,,linear,,random_untrained,parity_readout,depolarizing,0.05,0.38,0.4533333333333333,-0.0733333333333333,1.1929824561403508,,Dual-loss/stability-regularized multi-observable HQNN.
variance_reduced_spsa_hqnn,optimizer engineering,standard_spsa,,linear,,SPSA_k1,,depolarizing,0.05,0.375,0.3958333333333333,-0.020833333333333315,1.0555555555555556,0.051427538018717814,SPSA gradient variance reduction by averaging multiple noisy perturbation estimates.
dual_loss_multi_observable_hqnn,noise-aware optimization,dual_loss + parity_readout,,linear,,dual_loss,parity_readout,depolarizing,0.05,0.31333333333333335,0.35333333333333333,-0.03999999999999998,1.127659574468085,,Dual-loss/stability-regularized multi-observable HQNN.
